"Mtype";"N_plots";"N_years";"N_trees";"trend";"sd_bp";"sd_wp";"cor_is";"sd_trend";"modelnr";"modelsimnr";"power";"lcl";"ucl"
"Fix";"20";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"1";"1";"0,32";"0,232238498020903";"0,421791964251997"
"Fix";"40";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"2";"2";"0,52";"0,41831831181446";"0,620127798842251"
"Fix";"60";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"3";"3";"0,75";"0,651615864945394";"0,828824452024401"
"Fix";"80";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"4";"4";"0,89";"0,807766535620428";"0,941132832689271"
"Fix";"100";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"5";"5";"0,94";"0,868835502148686";"0,975375250464791"
"Fix";"120";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"6";"6";"0,99";"0,937588019394406";"0,99947777738727"
"Fix";"20";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"7";"7";"0,32";"0,232238498020903";"0,421791964251997"
"Fix";"40";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"8";"8";"0,64";"0,53727449522216";"0,731827912920184"
"Fix";"60";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"9";"9";"0,76";"0,662308863890037";"0,837334475443711"
"Fix";"80";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"10";"10";"0,93";"0,85623426539326";"0,968980154411236"
"Fix";"100";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"11";"11";"0,97";"0,908486912904675";"0,992220165003868"
"Fix";"120";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"12";"12";"1";"0,953898659387813";"1"
